iso_code,name,state,country,zone
13160,Cantagallo,BOL,CO,6
13188,Cicuco,BOL,CO,6
13212,Cordoba,BOL,CO,6
13222,Clemencia,BOL,CO,6
13244,El Carmen De Bolivar,BOL,CO,6
13248,El Guamo,BOL,CO,6
13268,El Peñon,BOL,CO,6
13300,Hatillo De Loba,BOL,CO,6
13430,Magangue,BOL,CO,6
13433,Mahates,BOL,CO,6
13440,Margarita,BOL,CO,6
13442,Maria La Baja,BOL,CO,6
13458,Montecristo,BOL,CO,6
13468,Mompos,BOL,CO,6
13490,Norosi,BOL,CO,6
13473,Morales,BOL,CO,6
13549,Pinillos,BOL,CO,6
13580,Regidor,BOL,CO,6
13600,Rio Viejo,BOL,CO,6
13620,San Cristobal,BOL,CO,6
13647,San Estanislao,BOL,CO,6
13650,San Fernando,BOL,CO,6
13654,San Jacinto,BOL,CO,6
13655,San Jacinto Del Cauca,BOL,CO,6
13657,San Juan Nepomuceno,BOL,CO,6
13667,San Martin De Loba,BOL,CO,6
13670,San Pablo,BOL,CO,6
13673,Santa Catalina,BOL,CO,6
13683,Santa Rosa,BOL,CO,6
13688,Santa Rosa Del Sur,BOL,CO,6
13744,Simiti,BOL,CO,6
13760,Soplaviento,BOL,CO,6
13780,Talaigua Nuevo,BOL,CO,6
13810,Tiquisio,BOL,CO,6
13836,Turbaco,BOL,CO,6
13838,Turbana,BOL,CO,6
13873,Villanueva,BOL,CO,6
13894,Zambrano,BOL,CO,6
15001,Tunja,BOY,CO,6
15022,Almeida,BOY,CO,6
15047,Aquitania,BOY,CO,6
15051,Arcabuco,BOY,CO,6
15087,Belen,BOY,CO,6
15090,Berbeo,BOY,CO,6
15092,Beteitiva,BOY,CO,6
15097,Boavita,BOY,CO,6
15104,Boyaca,BOY,CO,6
15106,Briceño,BOY,CO,6
15109,Buenavista,BOY,CO,6
15114,Busbanza,BOY,CO,6
15131,Caldas,BOY,CO,6
15135,Campohermoso,BOY,CO,6
15162,Cerinza,BOY,CO,6
15172,Chinavita,BOY,CO,6
15176,Chiquinquira,BOY,CO,6
15180,Chiscas,BOY,CO,6
15183,Chita,BOY,CO,6
15185,Chitaraque,BOY,CO,6
15187,Chivata,BOY,CO,6
15189,Cienega,BOY,CO,6
15204,Combita,BOY,CO,6
15212,Coper,BOY,CO,6
15215,Corrales,BOY,CO,6
15218,Covarachia,BOY,CO,6
15223,Cubara,BOY,CO,6
15224,Cucaita,BOY,CO,6
15226,Cuitiva,BOY,CO,6
15232,Chiquiza,BOY,CO,6
15236,Chivor,BOY,CO,6
15238,Duitama,BOY,CO,6
15244,El Cocuy,BOY,CO,6
15248,El Espino,BOY,CO,6
15272,Firavitoba,BOY,CO,6
15276,Floresta,BOY,CO,6
15293,Gachantiva,BOY,CO,6
15296,Gameza,BOY,CO,6
15299,Garagoa,BOY,CO,6
15317,Guacamayas,BOY,CO,6
15322,Guateque,BOY,CO,6
15325,Guayata,BOY,CO,6
15332,Gsican,BOY,CO,6
15362,Iza,BOY,CO,6
15367,Jenesano,BOY,CO,6
15368,Jerico,BOY,CO,6
15377,Labranzagrande,BOY,CO,6
15380,La Capilla,BOY,CO,6
15401,La Victoria,BOY,CO,6
15403,La Uvita,BOY,CO,6
15407,Villa De Leyva,BOY,CO,6
15425,Macanal,BOY,CO,6
15442,Maripi,BOY,CO,6
15455,Miraflores,BOY,CO,6
